Target,Port,Status,Time,Banner
172.20.0.21,8316,closed,0.001,null
172.20.0.21,8317,closed,0.001,null
172.20.0.21,8318,closed,0.001,null
172.20.0.21,8319,closed,0.001,null
172.20.0.21,8320,closed,0.001,null
172.20.0.21,8321,closed,0.001,null
172.20.0.21,8322,closed,0.001,null
172.20.0.21,8323,closed,0.001,null
172.20.0.21,8324,closed,0.001,null
172.20.0.21,8325,closed,0.001,null
172.20.0.21,8326,closed,0.001,null
172.20.0.21,8327,closed,0.001,null
172.20.0.21,8328,closed,0.001,null
172.20.0.21,8329,closed,0.001,null
172.20.0.21,8330,closed,0.001,null
172.20.0.21,8331,closed,0.001,null
172.20.0.21,8332,closed,0.001,null
172.20.0.21,8333,closed,0.001,null
172.20.0.21,8334,closed,0.001,null
172.20.0.21,8335,closed,0.001,null
172.20.0.21,8336,closed,0.001,null
172.20.0.21,8337,closed,0.001,null
172.20.0.21,8338,closed,0.001,null
172.20.0.21,8339,closed,0.001,null
172.20.0.21,8340,closed,0.001,null
172.20.0.21,8341,closed,0.001,null
172.20.0.21,8342,closed,0.001,null
172.20.0.21,8343,closed,0.001,null
172.20.0.21,8344,closed,0.001,null
172.20.0.21,8345,closed,0.001,null
172.20.0.21,8346,closed,0.001,null
172.20.0.21,8347,closed,0.001,null
172.20.0.21,8348,closed,0.001,null
172.20.0.21,8349,closed,0.001,null
172.20.0.21,8350,closed,0.001,null
172.20.0.21,8351,closed,0.001,null
172.20.0.21,8352,closed,0.001,null
172.20.0.21,8353,closed,0.001,null
172.20.0.21,8354,closed,0.001,null
172.20.0.21,8355,closed,0.001,null
172.20.0.21,8356,closed,0.001,null
172.20.0.21,8357,closed,0.001,null
172.20.0.21,8358,closed,0.001,null
172.20.0.21,8359,closed,0.001,null
172.20.0.21,8360,closed,0.001,null
172.20.0.21,8361,closed,0.001,null
172.20.0.21,8362,closed,0.001,null
172.20.0.21,8363,closed,0.001,null
172.20.0.21,8364,closed,0.001,null
172.20.0.21,8365,closed,0.001,null
172.20.0.21,8366,closed,0.001,null
172.20.0.21,8367,closed,0.001,null
172.20.0.21,8368,closed,0.001,null
172.20.0.21,8369,closed,0.001,null
172.20.0.21,8370,closed,0.001,null
172.20.0.21,8371,closed,0.001,null
172.20.0.21,8372,closed,0.001,null
172.20.0.21,8373,closed,0.001,null
172.20.0.21,8374,closed,0.001,null
172.20.0.21,8375,closed,0.001,null
172.20.0.21,8376,closed,0.001,null
172.20.0.21,8377,closed,0.001,null
172.20.0.21,8378,closed,0.001,null
172.20.0.21,8379,closed,0.001,null
172.20.0.21,8380,closed,0.001,null
172.20.0.21,8381,closed,0.001,null
172.20.0.21,8382,closed,0.001,null
172.20.0.21,8383,closed,0.001,null
172.20.0.21,8384,closed,0.001,null
172.20.0.21,8385,closed,0.001,null
172.20.0.21,8386,closed,0.001,null
172.20.0.21,8387,closed,0.001,null
172.20.0.21,8388,closed,0.001,null
172.20.0.21,8389,closed,0.001,null
172.20.0.21,8390,closed,0.001,null
172.20.0.21,8391,closed,0.001,null
172.20.0.21,8392,closed,0.001,null
172.20.0.21,8393,closed,0.001,null
172.20.0.21,8394,closed,0.001,null
172.20.0.21,8395,closed,0.001,null
172.20.0.21,8396,closed,0.001,null
172.20.0.21,8397,closed,0.001,null
172.20.0.21,8398,closed,0.001,null
172.20.0.21,8399,closed,0.001,null
172.20.0.21,8400,closed,0.001,null
172.20.0.21,8401,closed,0.001,null
172.20.0.21,8402,closed,0.001,null
172.20.0.21,8403,closed,0.001,null
172.20.0.21,8404,closed,0.001,null
172.20.0.21,8405,closed,0.001,null
172.20.0.21,8406,closed,0.001,null
172.20.0.21,8407,closed,0.001,null
172.20.0.21,8408,closed,0.001,null
172.20.0.21,8409,closed,0.001,null
172.20.0.21,8410,closed,0.001,null
172.20.0.21,8411,closed,0.001,null
172.20.0.21,8412,closed,0.001,null
172.20.0.21,8413,closed,0.001,null
172.20.0.21,8414,closed,0.001,null
172.20.0.21,8415,closed,0.001,null
172.20.0.21,8416,closed,0.001,null
172.20.0.21,8417,closed,0.001,null
172.20.0.21,8418,closed,0.001,null
172.20.0.21,8419,closed,0.001,null
172.20.0.21,8420,closed,0.001,null
172.20.0.21,8421,closed,0.001,null
172.20.0.21,8422,closed,0.001,null
172.20.0.21,8423,closed,0.001,null
172.20.0.21,8424,closed,0.001,null
172.20.0.21,8425,closed,0.001,null
172.20.0.21,8426,closed,0.001,null
172.20.0.21,8427,closed,0.001,null
172.20.0.21,8428,closed,0.001,null
172.20.0.21,8429,closed,0.001,null
172.20.0.21,8430,closed,0.001,null
172.20.0.21,8431,closed,0.001,null
172.20.0.21,8432,closed,0.001,null
172.20.0.21,8433,closed,0.001,null
172.20.0.21,8434,closed,0.001,null
172.20.0.21,8435,closed,0.001,null
172.20.0.21,8436,closed,0.001,null
172.20.0.21,8437,closed,0.001,null
172.20.0.21,8438,closed,0.001,null
172.20.0.21,8439,closed,0.001,null
172.20.0.21,8440,closed,0.001,null
172.20.0.21,8441,closed,0.001,null
172.20.0.21,8442,closed,0.001,null
172.20.0.21,8443,closed,0.001,null
172.20.0.21,8444,closed,0.001,null
172.20.0.21,8445,closed,0.001,null
172.20.0.21,8446,closed,0.001,null
172.20.0.21,8447,closed,0.001,null
172.20.0.21,8448,closed,0.001,null
172.20.0.21,8449,closed,0.001,null
172.20.0.21,8450,closed,0.001,null
172.20.0.21,8451,closed,0.001,null
172.20.0.21,8452,closed,0.001,null
172.20.0.21,8453,closed,0.001,null
172.20.0.21,8454,closed,0.001,null
172.20.0.21,8455,closed,0.001,null
172.20.0.21,8456,closed,0.001,null
172.20.0.21,8457,closed,0.001,null
172.20.0.21,8458,closed,0.001,null
172.20.0.21,8459,closed,0.001,null
172.20.0.21,8460,closed,0.001,null
172.20.0.21,8461,closed,0.001,null
172.20.0.21,8462,closed,0.001,null
172.20.0.21,8463,closed,0.001,null
172.20.0.21,8464,closed,0.001,null
